,selpT0,selpT1,selpT2,selpT3,selEta0,selEta1,selEta2,selEta3,selPhi0,selPhi1,selPhi2,selPhi3,selCharge0,selCharge1,selCharge2,selCharge3,dPhi0,dPhi1,dRA0,dRA1,event,invMassA0,invMassA1,Predict
7,40.78446960449219,13.343785285949707,25.462383270263672,8.59860897064209,-0.06160897761583328,0.6581538915634155,1.1246241331100464,0.18576787412166595,0.782237708568573,1.792272686958313,-0.8511340022087097,2.4079015254974365,-1.0,1.0,1.0,-1.0,-1.0100350379943848,-3.259035587310791,1.2402537462552412,3.3915724975916044,2.0,28.353029601718752,32.86841239993103,1.0
10,58.814483642578125,8.74851131439209,57.289005279541016,8.420397758483887,-1.008244276046753,0.18010808527469635,-0.5905070304870605,0.7526471614837646,0.3213593363761902,1.830130934715271,-1.3819016218185425,3.1322083473205566,-1.0,1.0,1.0,-1.0,-1.5087716579437256,-4.514110088348389,1.9205658580368608,4.709697768767917,3.0,42.20843751726832,46.5196168264728,1.0
21,139.74484252929688,85.85123443603516,41.00114440917969,10.19858169555664,0.5800009369850159,0.810437023639679,0.9678704738616943,-0.4521344006061554,-3.022085666656494,-3.0224950313568115,-0.9255375862121582,0.5055321455001831,1.0,-1.0,1.0,-1.0,0.0004093647003173828,-1.4310697317123413,0.2304364502681233,2.016029348967123,7.0,25.29603520477474,41.40722644354864,1.0
32,33.481353759765625,41.378700256347656,55.75521469116211,10.5464506149292,1.3727070093154907,0.5773738622665405,0.1393754631280899,-0.24307100474834442,-0.5569473505020142,-0.4178081154823303,1.910989761352539,-1.72922945022583,-1.0,1.0,-1.0,1.0,-0.13913923501968384,3.640219211578369,0.8074122500412351,3.660254254711741,10.0,30.82708318812066,47.916014800810295,1.0
36,31.95792007446289,29.9858341217041,23.5250301361084,8.18873405456543,1.0934276580810547,0.616819441318512,1.35590660572052,0.8789044618606567,2.359382390975952,-2.971708297729492,-0.47763174772262573,-2.7163896560668945,1.0,-1.0,-1.0,1.0,5.331090927124023,2.238757848739624,5.352353301637482,2.2890102119781326,12.0,32.044226915644764,25.85705170526158,1.0
50,47.00975036621094,10.928439140319824,41.909889221191406,9.239325523376465,1.0444704294204712,2.0785698890686035,-0.7605704069137573,-0.11722882091999054,-0.3832198679447174,1.9034546613693237,0.29720550775527954,-3.1208653450012207,1.0,-1.0,-1.0,1.0,-2.2866744995117188,3.4180707931518555,2.5096298450492114,3.4780880325891412,16.0,47.97831397845981,41.05283592655413,1.0
59,26.38526153564453,17.20178985595703,24.461198806762695,12.048280715942383,-0.808390200138092,-1.7625564336776733,-0.29981350898742676,-0.222825288772583,1.9753310680389404,-2.290276527404785,0.17551067471504211,0.34063521027565,1.0,-1.0,-1.0,1.0,4.265607833862305,-0.1651245355606079,4.371023151795764,0.18219028046511082,19.0,41.77909674779601,3.1249376680986014,1.0
70,55.28705978393555,12.839529037475586,25.697782516479492,9.423053741455078,0.9501418471336365,0.8103312253952026,0.4711214601993561,0.49258720874786377,0.5040714740753174,2.3366286754608154,2.3239214420318604,3.12892746925354,-1.0,1.0,1.0,-1.0,-1.832557201385498,-0.8050060272216797,1.837882723761431,0.8052921719624372,23.0,42.43837299523558,12.195938066178991,1.0
75,29.444610595703125,28.822784423828125,21.07298469543457,14.512116432189941,0.576452374458313,1.0876989364624023,1.5489778518676758,1.548173189163208,-0.39591434597969055,-2.2736282348632812,-3.106050491333008,2.9278767108917236,1.0,-1.0,-1.0,1.0,1.877713918685913,-6.033926963806152,1.9460685002300944,6.033927017459608,25.0,49.36448926581812,4.347661657162843,1.0
78,59.9171028137207,24.050626754760742,22.285032272338867,9.592738151550293,1.7081329822540283,1.4929612874984741,1.7681708335876465,1.8189400434494019,1.61903715133667,1.9308632612228394,-1.0239566564559937,1.686055302619934,1.0,-1.0,1.0,-1.0,-0.31182610988616943,-2.7100119590759277,0.3788593156182368,2.7104874711026676,26.0,14.351499059493912,28.57350531630695,1.0
85,51.98714828491211,18.232885360717773,34.30170440673828,9.984135627746582,0.6124110817909241,-0.4164736866950989,1.4034473896026611,0.819650411605835,2.5237832069396973,1.8573135137557983,-0.3439886271953583,-2.463820219039917,-1.0,1.0,1.0,-1.0,0.6664696931838989,2.1198315620422363,1.2258816087841344,2.1987507277880898,28.0,38.7401728574701,34.09499669918682,1.0
88,42.00025177001953,14.458606719970703,26.217653274536133,8.048055648803711,0.0646754577755928,0.03152716904878616,1.0789587497711182,-0.08901700377464294,0.8898890614509583,2.239131450653076,-0.8416761159896851,2.004178047180176,-1.0,1.0,1.0,-1.0,-1.3492424488067627,-2.8458542823791504,1.3496495821907202,3.076207734699222,29.0,30.794637280700805,33.87878126380841,1.0
92,42.4569206237793,13.322505950927734,29.216291427612305,9.788134574890137,0.7862062454223633,0.632537841796875,1.0963565111160278,0.2511211335659027,2.170828342437744,-3.065190076828003,-0.8115156292915344,-3.0372960567474365,1.0,-1.0,-1.0,1.0,5.236018180847168,2.225780487060547,5.238272651211933,2.3808657185279967,30.0,24.062125411748394,33.72102292087014,1.0
101,55.73203659057617,13.31941032409668,29.244407653808594,9.118127822875977,-0.22163891792297363,0.5202529430389404,-0.1426190882921219,0.7366960048675537,0.013293656520545483,0.6254897117614746,-1.9061683416366577,0.2302076518535614,1.0,-1.0,-1.0,1.0,-0.6121960282325745,-2.136375904083252,0.9618666801305008,2.3102590786317254,33.0,26.40623602436009,32.232261489924845,1.0
