,selpT0,selpT1,selpT2,selpT3,selEta0,selEta1,selEta2,selEta3,selPhi0,selPhi1,selPhi2,selPhi3,selCharge0,selCharge1,selCharge2,selCharge3,dPhi0,dPhi1,dRA0,dRA1,event,invMassA0,invMassA1,Predict
2,9.641029357910156,50.170955657958984,58.031517028808594,8.327826499938965,-0.9943828582763672,0.5371560454368591,-0.5482621788978577,-0.4929334819316864,1.8673332929611206,-1.2932997941970825,0.050144605338573456,2.072704315185547,-1.0,1.0,-1.0,1.0,3.160633087158203,-2.022559642791748,3.5121522045321405,2.0233162810983996,0.0,57.524361134845776,37.28248640633009,0.0
5,19.875675201416016,42.20590591430664,30.040468215942383,9.957440376281738,-0.16494008898735046,-0.7336687445640564,-1.0194227695465088,-1.440331220626831,-3.1346681118011475,0.11295303702354431,0.9426500797271729,0.8676134943962097,1.0,-1.0,-1.0,1.0,-3.2476210594177246,0.07503658533096313,3.2970433517238535,0.42754463314251406,1.0,60.20622513800223,7.44747214307566,0.0
8,8.59860897064209,25.462383270263672,13.343785285949707,40.78446960449219,0.18576787412166595,1.1246241331100464,0.6581538915634155,-0.06160897761583328,2.4079015254974365,-0.8511340022087097,1.792272686958313,0.782237708568573,-1.0,1.0,1.0,-1.0,3.259035587310791,1.0100350379943848,3.3915724975916044,1.2402537462552412,2.0,32.86841239993103,28.353029601718752,0.0
11,8.420397758483887,57.289005279541016,8.74851131439209,58.814483642578125,0.7526471614837646,-0.5905070304870605,0.18010808527469635,-1.008244276046753,3.1322083473205566,-1.3819016218185425,1.830130934715271,0.3213593363761902,-1.0,1.0,1.0,-1.0,4.514110088348389,1.5087716579437256,4.709697768767917,1.9205658580368608,3.0,46.5196168264728,42.20843751726832,0.0
13,8.762104988098145,27.314308166503906,30.265539169311523,18.657014846801758,-0.41122692823410034,0.13106627762317657,-1.43733811378479,-0.5265471935272217,2.1028730869293213,1.895664930343628,0.648389458656311,-0.6157989501953125,1.0,-1.0,-1.0,1.0,0.20720815658569336,1.2641884088516235,0.5805317606410586,1.5581118167507837,4.0,9.07544631989406,35.918922997968906,0.0
17,21.334238052368164,24.957714080810547,25.945507049560547,15.928894996643066,-1.6831446886062622,0.1927831470966339,1.1763343811035156,0.4408504366874695,-2.3154163360595703,1.1759779453277588,-1.2070542573928833,-2.2086870670318604,-1.0,1.0,-1.0,1.0,-3.491394281387329,1.001632809638977,3.9634504110755673,1.2426604193580226,5.0,67.50743601287105,24.79774500018866,0.0
20,62.238712310791016,8.438909530639648,12.668262481689453,26.847431182861328,-0.7620536684989929,0.6064702272415161,-2.045930862426758,0.3231920301914215,-1.6319584846496582,0.9128100872039795,2.679427146911621,1.8746439218521118,1.0,-1.0,1.0,-1.0,-2.5447685718536377,0.8047832250595093,2.8894124964023438,2.502083080814246,6.0,55.37526830700973,56.52743355651533,0.0
22,41.00114440917969,85.85123443603516,139.74484252929688,10.19858169555664,0.9678704738616943,0.810437023639679,0.5800009369850159,-0.4521344006061554,-0.9255375862121582,-3.0224950313568115,-3.022085666656494,0.5055321455001831,1.0,-1.0,1.0,-1.0,2.0969574451446533,-3.527617931365967,2.10285896293508,3.675512438602161,7.0,103.26195694027697,84.55162275724949,0.0
25,67.48152160644531,11.804542541503906,35.81742858886719,11.414936065673828,0.11726124584674835,0.6027844548225403,0.6165770292282104,0.4668121635913849,-0.13106928765773773,2.829047203063965,-2.4333930015563965,2.6578712463378906,-1.0,1.0,1.0,-1.0,-2.960116386413574,-5.091264247894287,2.999670285554402,5.0934665167119535,8.0,57.89379300585904,22.900758743431,0.0
29,9.874626159667969,25.18923568725586,57.31218338012695,14.85902214050293,-0.08480335772037506,-0.5265376567840576,-0.0366436243057251,0.46785032749176025,2.0483133792877197,-2.006324052810669,1.8401391506195068,-2.673985004425049,-1.0,1.0,1.0,-1.0,4.054637432098389,4.514123916625977,4.0786289252526275,4.542227304093762,9.0,29.170537009133326,47.54014591281143,0.0
