,selpT0,selpT1,selpT2,selpT3,selEta0,selEta1,selEta2,selEta3,selPhi0,selPhi1,selPhi2,selPhi3,selCharge0,selCharge1,selCharge2,selCharge3,dPhi0,dPhi1,dRA0,dRA1,event,invMassA0,invMassA1,Predict
1,67.54588317871094,14.39087963104248,56.33190155029297,8.78283977508545,0.48177817463874817,-0.8300312161445618,1.244391918182373,1.0280343294143677,-1.720163106918335,-1.4602820873260498,0.48668214678764343,2.521458864212036,-1.0,1.0,1.0,-1.0,-0.25988101959228516,-2.0347766876220703,1.3373040418250213,2.046246997482892,0.0,44.632790235900124,38.1519897336921,1.0
21,25.738039016723633,24.293643951416016,19.00876808166504,11.377484321594238,-1.0014399290084839,0.3562954068183899,-0.8543161749839783,-0.7511315941810608,1.4223402738571167,1.5548936128616333,-0.40147894620895386,2.6487250328063965,1.0,-1.0,-1.0,1.0,-0.1325533390045166,-3.050204038619995,1.3641905261688443,3.051948842121899,7.0,36.768738593887754,29.4208700473276,1.0
23,25.738039016723633,19.00876808166504,24.293643951416016,11.377484321594238,-1.0014399290084839,-0.8543161749839783,0.3562954068183899,-0.7511315941810608,1.4223402738571167,-0.40147894620895386,1.5548936128616333,2.6487250328063965,1.0,-1.0,-1.0,1.0,1.8238191604614258,-1.0938314199447632,1.8297436238622293,1.5565544442135695,7.0,35.12911339070962,25.96315528118231,1.0
25,84.65834045410156,28.71162223815918,48.89091110229492,12.298635482788086,0.32025131583213806,0.40771618485450745,0.4710586965084076,1.8329180479049683,2.0816893577575684,2.770981788635254,-0.4025213420391083,-1.9903099536895752,-1.0,1.0,1.0,-1.0,-0.6892924308776855,1.5877885818481445,0.6948195151104848,2.0918253733188297,8.0,33.59274839269499,50.21536329582014,1.0
34,47.6529541015625,27.340560913085938,28.26616668701172,12.144509315490723,-1.3958144187927246,-0.45272526144981384,-1.6920814514160156,-1.030115008354187,-2.391995429992676,-2.288860559463501,-1.7803000211715698,1.3015161752700806,-1.0,1.0,1.0,-1.0,-0.1031348705291748,-3.0818161964416504,0.9487117075299207,3.1521089194997702,11.0,35.512035390095164,39.0881975705506,1.0
33,47.6529541015625,28.26616668701172,27.340560913085938,12.144509315490723,-1.3958144187927246,-1.6920814514160156,-0.45272526144981384,-1.030115008354187,-2.391995429992676,-1.7803000211715698,-2.288860559463501,1.3015161752700806,-1.0,1.0,1.0,-1.0,-0.611695408821106,-3.590376853942871,0.6796656735426839,3.6365072306739465,11.0,24.648972958602,37.09710118895683,1.0
46,34.539459228515625,52.84719467163086,38.89256286621094,10.826608657836914,0.9878374338150024,0.4080652594566345,1.3959180116653442,1.4160487651824951,0.98394775390625,2.0054931640625,-2.0545594692230225,-2.146908760070801,-1.0,1.0,1.0,-1.0,-1.02154541015625,0.09234929084777832,1.1746024004621864,0.0945179282319277,15.0,48.74172997878996,1.9388730110134946,1.0
66,23.53311538696289,29.30381965637207,96.30797576904297,19.93598747253418,0.38163551688194275,1.7041579484939575,-0.6767712235450745,-0.358579158782959,-2.6518330574035645,-2.2880868911743164,0.4847632646560669,1.1889421939849854,1.0,-1.0,-1.0,1.0,-0.36374616622924805,-0.7041789293289185,1.3716328870127579,0.7727316187321445,22.0,38.507112812734064,33.30772482017205,1.0
70,53.827457427978516,13.720501899719238,50.26298522949219,11.639362335205078,-1.7207918167114258,-1.3567804098129272,-0.4612635672092438,-0.4551377296447754,2.7071104049682617,1.7292076349258423,0.6343133449554443,-2.2049787044525146,-1.0,1.0,1.0,-1.0,0.9779027700424194,2.839292049407959,1.0434549017609056,2.839298657717626,23.0,27.398669179134725,47.82343507585067,1.0
72,73.24434661865234,24.1998348236084,23.470373153686523,15.475836753845215,0.36460718512535095,-0.7268034219741821,0.7391509413719177,0.32302185893058777,1.0083203315734863,0.6236777305603027,-2.083076000213623,-0.8354985117912292,-1.0,1.0,1.0,-1.0,0.3846426010131836,-1.247577428817749,1.15720659730953,1.3151474647920547,24.0,50.87702852562035,23.654232842469515,1.0
98,101.92300415039062,32.09331130981445,35.93715286254883,12.733278274536133,-0.3841397762298584,-0.47647085785865784,-0.38013607263565063,-1.1544023752212524,-0.8681039214134216,-1.3008406162261963,-1.2962853908538818,-0.6353940963745117,1.0,-1.0,-1.0,1.0,0.43273669481277466,-0.6608912944793701,0.44247720356220444,1.0179713210293284,32.0,25.118640814905163,21.931813030247287,1.0
