,selpT0,selpT1,selpT2,selpT3,selEta0,selEta1,selEta2,selEta3,selPhi0,selPhi1,selPhi2,selPhi3,selCharge0,selCharge1,selCharge2,selCharge3,dPhi0,dPhi1,dRA0,dRA1,event,invMassA0,invMassA1,Predict
2,8.78283977508545,56.33190155029297,14.39087963104248,67.54588317871094,1.0280343294143677,1.244391918182373,-0.8300312161445618,0.48177817463874817,2.521458864212036,0.48668214678764343,-1.4602820873260498,-1.720163106918335,-1.0,1.0,1.0,-1.0,2.0347766876220703,0.25988101959228516,2.046246997482892,1.3373040418250213,0.0,38.1519897336921,44.632790235900124,0.0
5,10.717069625854492,32.83665084838867,12.257848739624023,33.30266189575195,1.158593773841858,-1.27647864818573,-0.43368953466415405,0.4189804196357727,2.8947651386260986,2.375030994415283,-1.3150743246078491,0.18399028480052948,-1.0,1.0,1.0,-1.0,0.5197341442108154,-1.499064564704895,2.4899199346922485,1.7245986837869602,1.0,58.631055504907955,32.758831486133985,0.0
8,8.467292785644531,51.685462951660156,80.23843383789062,8.085068702697754,-1.3039945363998413,-1.1168891191482544,0.023917313665151596,0.05552097037434578,2.9229347705841064,1.3248556852340698,-0.15710163116455078,-3.0612263679504395,-1.0,1.0,-1.0,1.0,1.5980790853500366,2.9041247367858887,1.6089950901721546,2.904296692476356,2.0,30.240940409915396,50.58823855557333,0.0
11,21.94566535949707,35.93867874145508,83.8828125,9.129616737365723,1.9628418684005737,0.48345860838890076,1.5599764585494995,1.4300577640533447,-2.538334608078003,-1.014660358428955,0.0702742338180542,1.8647676706314087,-1.0,1.0,-1.0,1.0,-1.5236742496490479,-1.7944934368133545,2.123713248267817,1.7991902517370946,3.0,59.7320500387471,43.40912746726445,0.0
14,15.725980758666992,26.76264190673828,384.3821105957031,25.401634216308594,1.2379882335662842,-0.22654591500759125,0.5959885716438293,0.6218028664588928,-0.5914024710655212,-2.4380781650543213,0.9966496229171753,1.4140652418136597,-1.0,1.0,1.0,-1.0,1.8466756343841553,-0.4174156188964844,2.3569198574863863,0.4182130757347672,4.0,46.336399887140246,41.02651934213747,0.0
15,31.841093063354492,28.87630844116211,28.183382034301758,12.701034545898438,-0.7755284309387207,0.12071073800325394,-0.6965721249580383,0.9994232058525085,0.8504993319511414,-0.5311195850372314,0.3093683421611786,-2.340780019760132,-1.0,1.0,-1.0,1.0,1.3816189765930176,2.650148391723633,1.6468502151296984,3.14637675116737,5.0,47.774710972242694,51.46316494493183,0.0
20,76.54235076904297,18.029050827026367,34.48282241821289,12.512214660644531,0.9978283047676086,0.9877148866653442,1.4039596319198608,0.36544811725616455,0.6273252964019775,-1.7476787567138672,1.613006830215454,0.6705288887023926,1.0,-1.0,-1.0,1.0,2.3750040531158447,0.9424779415130615,2.3750255858711085,1.402416071045887,6.0,68.90623323304997,29.400484351345177,0.0
22,11.377484321594238,24.293643951416016,19.00876808166504,25.738039016723633,-0.7511315941810608,0.3562954068183899,-0.8543161749839783,-1.0014399290084839,2.6487250328063965,1.5548936128616333,-0.40147894620895386,1.4223402738571167,1.0,-1.0,-1.0,1.0,1.0938314199447632,-1.8238191604614258,1.5565544442135695,1.8297436238622293,7.0,25.96315528118231,35.12911339070962,0.0
24,84.65834045410156,48.89091110229492,28.71162223815918,12.298635482788086,0.32025131583213806,0.4710586965084076,0.40771618485450745,1.8329180479049683,2.0816893577575684,-0.4025213420391083,2.770981788635254,-1.9903099536895752,-1.0,1.0,1.0,-1.0,2.484210729598999,4.76129150390625,2.4887840033078863,4.970019841063111,8.0,122.16879929016655,38.97281696540817,0.0
29,11.201985359191895,54.50218963623047,11.271785736083984,57.86540985107422,1.4255077838897705,1.1004974842071533,1.3811851739883423,1.1854075193405151,-0.6966730952262878,2.7143173217773438,2.3145933151245117,-1.2210773229599,-1.0,1.0,1.0,-1.0,-3.4109904766082764,3.535670757293701,3.4264395115647583,3.541086922689306,9.0,49.63013322738084,50.339622992735514,0.0
