,selpT0,selpT1,selpT2,selpT3,selEta0,selEta1,selEta2,selEta3,selPhi0,selPhi1,selPhi2,selPhi3,selCharge0,selCharge1,selCharge2,selCharge3,dPhi0,dPhi1,dRA0,dRA1,event,invMassA0,invMassA1,Predict
3,67.42913818359375,57.34914016723633,39.85679626464844,25.09665870666504,-0.7460867762565613,-0.4949660301208496,-0.25756096839904785,0.14993688464164734,-2.4090869426727295,3.13102126121521,0.58031165599823,0.2893996238708496,1.0,-1.0,1.0,-1.0,-5.5401082038879395,0.29091203212738037,5.54579665511874,0.5006838430279711,1.0,47.79021001486882,15.889255487663064,1.0
11,28.092823028564453,20.30923080444336,25.563745498657227,17.433799743652344,-1.40885329246521,-2.146317481994629,-1.7110390663146973,-2.3429274559020996,-1.6555752754211426,-2.9003989696502686,1.8301924467086792,-1.234326958656311,1.0,-1.0,-1.0,1.0,1.244823694229126,3.0645194053649902,1.4468723027802182,3.1289873957486556,3.0,33.17060028823691,44.31700466855708,1.0
18,35.59284591674805,53.42367172241211,56.80677032470703,31.995052337646484,1.825818419456482,1.9432425498962402,0.5667979717254639,0.6697684526443481,1.6445420980453491,0.5607827305793762,-2.8038132190704346,-1.8070629835128784,1.0,-1.0,-1.0,1.0,1.0837593078613281,-0.9967502355575562,1.0901021345661142,1.0020548647777276,6.0,45.27040109863502,40.99258488257719,1.0
25,42.05961608886719,8.53046703338623,35.674659729003906,8.27816390991211,-1.0166261196136475,0.2387845367193222,-1.0319775342941284,0.42906659841537476,2.311174154281616,1.5206083059310913,-0.8392195701599121,-1.178531527519226,-1.0,1.0,1.0,-1.0,0.7905658483505249,0.33931195735931396,1.4835937159568708,1.4999274608999742,8.0,29.266934872678878,28.009187059965424,1.0
38,38.084320068359375,46.73909378051758,61.35631561279297,19.287731170654297,-0.04860379174351692,-0.32808917760849,-0.5243059992790222,0.8855509161949158,-2.179227828979492,-2.218228578567505,0.9282710552215576,1.1931686401367188,-1.0,1.0,-1.0,1.0,0.039000749588012695,-0.26489758491516113,0.2821934321233127,1.4345268392761328,12.0,11.943877227742826,53.396950098865425,1.0
42,32.4386100769043,63.65241241455078,68.55823516845703,22.876596450805664,-1.1364728212356567,-1.4931097030639648,-0.9813982248306274,-0.27691560983657837,-2.5655665397644043,-1.638335108757019,1.064782977104187,1.4795615673065186,-1.0,1.0,1.0,-1.0,-0.9272314310073853,-0.41477859020233154,0.9934525615892397,0.8175188277459347,14.0,43.78403987826422,32.81903836318351,1.0
45,127.78652954101562,83.73262023925781,22.47182273864746,15.32988166809082,1.1116455793380737,1.3442764282226562,1.122269868850708,2.067229986190796,2.216712474822998,2.2651097774505615,-0.8040961027145386,-1.7150864601135254,-1.0,1.0,-1.0,1.0,-0.04839730262756348,0.9109903573989868,0.23761189102059987,1.3125749710539685,15.0,24.631712897647827,24.451087951778753,1.0
49,43.27051544189453,23.667970657348633,34.73515701293945,13.949456214904785,0.7427628040313721,0.013758384622633457,0.9350297451019287,0.3265012502670288,-1.53016996383667,-1.2126185894012451,-2.963111162185669,-1.284446358680725,-1.0,1.0,1.0,-1.0,-0.3175513744354248,-1.6786648035049438,0.79516435588513,1.785559422576667,16.0,25.907733495019457,35.47444124678746,1.0
53,46.712982177734375,25.174388885498047,42.917335510253906,10.671579360961914,-0.19433195888996124,0.13028095662593842,-0.7831142544746399,-1.9254555702209473,2.3475382328033447,-3.134489059448242,-0.22866445779800415,0.4844675660133362,1.0,-1.0,-1.0,1.0,5.482027053833008,-0.7131320238113403,5.491629463454061,1.3466629501192802,17.0,28.987781632365515,29.81202929520327,1.0
70,66.704345703125,15.371302604675293,26.589492797851562,11.728788375854492,1.0986220836639404,0.8729477524757385,-0.26501569151878357,-0.20197072625160217,2.115870475769043,2.488852024078369,-1.7511261701583862,1.7031915187835693,-1.0,1.0,1.0,-1.0,-0.37298154830932617,-3.454317569732666,0.4359405224757896,3.454892840626078,23.0,13.908069636877341,34.90614004897966,1.0
74,17.4617919921875,40.84388732910156,45.03499984741211,34.0085563659668,-2.213190793991089,-1.8410108089447021,-0.14592793583869934,-0.5309531092643738,-2.092944860458374,-2.457540988922119,0.6144880056381226,1.1455419063568115,-1.0,1.0,1.0,-1.0,0.3645961284637451,-0.531053900718689,0.5210069847515294,0.6559440750856782,24.0,13.917581547572013,25.52924086294527,1.0
82,16.894458770751953,26.35601806640625,43.95941162109375,10.529279708862305,1.1105421781539917,1.0040795803070068,1.1712933778762817,0.20855870842933655,-2.44097638130188,-1.909096598625183,0.7880867719650269,-2.981954574584961,1.0,-1.0,1.0,-1.0,-0.5318797826766968,3.7700414657592773,0.542430076563366,3.8910243837173444,27.0,11.31702907762454,46.23590245964163,1.0
91,50.742488861083984,20.34221076965332,47.081600189208984,19.49129867553711,0.33569443225860596,-0.03152484819293022,0.6965634822845459,1.6074402332305908,2.387986183166504,1.93538236618042,-0.37923648953437805,-1.7296266555786133,-1.0,1.0,1.0,-1.0,0.452603816986084,1.3503901958465576,0.5828380623103867,1.628880025186793,30.0,18.671623123991125,47.430201525749155,1.0
98,34.67878341674805,45.58526611328125,82.89955139160156,37.148258209228516,-1.7583755254745483,-1.0479921102523804,-0.8993965983390808,-1.2187976837158203,-1.191009759902954,-1.5503653287887573,-2.7801272869110107,-2.6873395442962646,-1.0,1.0,1.0,-1.0,0.3593555688858032,-0.0927877426147461,0.7961036499802965,0.3326058004896782,32.0,32.15335490054307,18.52954224610165,1.0
101,33.03978729248047,52.46286392211914,65.48483276367188,37.36198043823242,1.8169784545898438,1.8401726484298706,1.9070982933044434,1.5780664682388306,-1.1059514284133911,-0.6997441053390503,2.1823904514312744,2.370727300643921,-1.0,1.0,1.0,-1.0,-0.4062073230743408,-0.18833684921264648,0.4068689714725253,0.37912097103346204,33.0,16.823610827358888,18.809699386340068,1.0
105,40.57512664794922,50.895843505859375,51.49953079223633,34.86103820800781,-0.28893232345581055,-0.28432944416999817,-0.8123160004615784,-1.202742576599121,-1.5785655975341797,-0.9340310096740723,2.2152841091156006,1.6003410816192627,-1.0,1.0,1.0,-1.0,-0.6445345878601074,0.6149430274963379,0.6445510231515564,0.7284146061281626,35.0,28.786261765325214,30.57689012579719,1.0
109,53.669559478759766,10.217950820922852,33.542335510253906,8.363166809082031,0.5086657404899597,-0.43055039644241333,-0.29425856471061707,-0.36310485005378723,3.080526351928711,-1.8775888681411743,0.5042371153831482,-0.9469143152236938,-1.0,1.0,1.0,-1.0,4.958115100860596,1.4511513710021973,5.0462889637094746,1.4527835738908634,36.0,36.74719439343297,22.257691001510665,1.0
113,24.122507095336914,60.49497985839844,53.87001419067383,15.755106925964355,-1.783456563949585,-1.4150593280792236,-0.1340756118297577,0.544310986995697,-1.1042124032974243,-0.7460980415344238,2.3661303520202637,2.5740437507629395,1.0,-1.0,-1.0,1.0,-0.3581143617630005,-0.20791339874267578,0.5137727313684951,0.7095324646608554,37.0,19.63303742784066,21.032344804110785,1.0
116,33.424659729003906,52.938777923583984,63.956634521484375,34.70363235473633,0.20659662783145905,-0.21422338485717773,-0.7131410837173462,-0.9567348957061768,-0.12079675495624542,0.23767466843128204,2.963864803314209,-3.093505620956421,-1.0,1.0,1.0,-1.0,-0.35847142338752747,6.057370185852051,0.5528030679395067,6.062266202806386,38.0,23.301474396656726,15.654184147772849,1.0
117,54.15318298339844,36.79555130004883,15.797456741333008,12.194890975952148,0.9400889873504639,1.0596076250076294,1.4554353952407837,1.5624370574951172,3.0950734615325928,1.9988478422164917,-1.1772087812423706,0.5067656636238098,1.0,-1.0,-1.0,1.0,1.096225619316101,-1.6839745044708252,1.1027217750604157,1.6873705839064967,39.0,46.82552746147555,20.760984192856895,1.0
